,name,brand,country,city,power,price,km,year,years,years.category,y
1,Cabeza tractora Mercedes Actros 1845,Mercedes,ESPAÑA,Valencia,448,93300,146482,2021,1,New,53716.18233
2,Cabeza tractora productos peligrosos / ADR Renault T-Series,Renault,ESPAÑA,Zierbena,440,94460,33733,2021,1,New,53716.18233
3,Cabeza tractora Volvo FH13 460,Volvo,ESPAÑA,Fuente El Saz De Jarama,460,119000,95000,2021,1,New,53716.18233
4,Cabeza tractora Mercedes Actros 1845,Mercedes,ESPAÑA,Valencia,448,93200,168479,2021,1,New,53716.18233
5,Cabeza tractora DAF XF 530,DAF,ESPAÑA,Fuente El Saz De Jarama,NA,98000,15500,2021,1,New,53716.18233
6,Cabeza tractora Mercedes Actros 1845,Mercedes,ESPAÑA,Valencia,448,94100,142136,2021,1,New,53716.18233
7,Cabeza tractora Volvo FH 460,Volvo,HOLANDA,Veghel,459,114900,141861,2021,1,New,53716.18233
8,Cabeza tractora MAN TGX 18.510,MAN,FRANCIA,Haute,510,39500,71659,2021,1,New,53716.18233
9,Cabeza tractora Mercedes Actros 1848 L,Mercedes,FRANCIA,Moselle,480,95000,83962,2021,1,New,53716.18233
10,Cabeza tractora Volvo FH 500,Volvo,FRANCIA,Moselle,NA,91000,141701,2021,1,New,53716.18233
11,Cabeza tractora MAN TGS,MAN,POLONIA,"ory,",NA,129800,201,2021,1,New,53716.18233
12,Cabeza tractora MAN TGS,MAN,POLONIA,"ory,",471,95200,201,2021,1,New,53716.18233
13,Cabeza tractora MAN TGX 18.480,MAN,FRANCIA,Drôme,480,36900,67000,2021,1,New,53716.18233
14,Cabeza tractora MAN TGS 470 PK HYDRODRIVE,MAN,HOLANDA,S,470,106000,11125,2021,1,New,53716.18233
15,Cabeza tractora Scania R 450/ RETARDER/NAVI / 2021 YEAR / GUARANTEE /,Scania,POLONIA,Bodzentyn,451,104900,133000,2021,1,New,53716.18233
16,Cabeza tractora Renault T-High 520 T4X2 E6,Renault,FRANCIA,Haute,520,1.00E+05,82807,2021,1,New,53716.18233
17,Cabeza tractora Renault T-High 520 T4X2 E6,Renault,FRANCIA,Haute,520,1.00E+05,82807,2021,1,New,53716.18233
18,Cabeza tractora HOWO 371 NEW! RHD Manual Big-Axle Steelsuspension,Est,HOLANDA,Veghel,371,33900,12,2021,1,New,53716.18233
19,Cabeza tractora DAF XF XF106-530 SSC - INTARDER - 2 Tanks- Vollspoiler,DAF,ALEMANIA,Wuppertal,531,95890,214000,2021,1,New,53716.18233
20,Cabeza tractora Scania R 500,Scania,FRANCIA,Bas,500,57500,160000,2021,1,New,53716.18233
21,Cabeza tractora Ford Cargo,Est,PORTUGAL,Samora Correia,500,80000,120000,2021,1,New,53716.18233
22,Cabeza tractora Mercedes Arocs 2042 SZM 4x4 Euro 6 - Thermo Kippauflieger,Mercedes,ALEMANIA,Kaufungen/Kassel,420,99900,4629,2021,1,New,53716.18233
23,Cabeza tractora Scania R 410,Scania,FRANCIA,Rhône,NA,85000,160000,2021,1,New,53716.18233
24,Cabeza tractora Renault Renault_T 460 ENGINE & GEARBOX OK,Renault,BÉLGICA,Hooglede,459,38000,107222,2021,1,New,53716.18233
25,Cabeza tractora MAN TGX 18.470 / AUTOMATIC / INTARDER / NEW TYPE / / 2021,MAN,HOLANDA,Velddriel,470,42500,138064,2021,1,New,53716.18233
26,Cabeza tractora Scania R 450/ RETARDER/09.2021 YEAR/21 000 KM /WARRANTY,Scania,POLONIA,Bodzentyn,451,118900,21000,2021,1,New,53716.18233
27,Cabeza tractora MAN 510 pk,MAN,HOLANDA,S,509,83750,109600,2021,1,New,53716.18233
28,Cabeza tractora Mercedes Arocs 2042 SZM 4x4 Euro 6 mit Nebenantrieb,Mercedes,ALEMANIA,Kaufungen/Kassel,420,99900,4629,2021,1,New,53716.18233
29,Cabeza tractora Iveco Stralis 570 HI-WAY,Iveco,FRANCIA,Bas,570,42500,206790,2021,1,New,53716.18233
30,Cabeza tractora Volvo FH 4-500 / AUTOMATIC / NEW TYPE / GLOBETROTTER / VEB+ / BOOGIE / LWDS / I-SAVE / DOUBLE TANK / / 2021,Volvo,HOLANDA,Velddriel,500,79900,37003,2021,1,New,53716.18233
31,Cabeza tractora Scania R 450/RETARDER/NAVI/2021 YEAR/WARRANTY,Scania,POLONIA,Bodzentyn,451,109900,120000,2021,1,New,53716.18233
32,Cabeza tractora Scania R 500,Scania,HOLANDA,Velddriel,500,45250,50500,2021,1,New,53716.18233
33,Cabeza tractora Mercedes Actros 1853 LS,Mercedes,FRANCIA,Bas,530,49000,125000,2021,1,New,53716.18233
34,Cabeza tractora Scania R 450/RETARDER/NAVI/2021 YEAR/38 000 KM/WARRANTY,Scania,POLONIA,Bodzentyn,451,119900,37000,2021,1,New,53716.18233
35,Cabeza tractora Scania R 450/ RETARDER/NAVI / 2021 YEAR / GUARANTEE /,Scania,POLONIA,Bodzentyn,451,109900,106000,2021,1,New,53716.18233
36,Cabeza tractora Scania R 450/RETARDER/NAVI/2021 YEAR/47 000 KM/WARRANTY,Scania,POLONIA,Bodzentyn,451,109900,47000,2021,1,New,53716.18233
37,Cabeza tractora Renault T-High,Renault,ESPAÑA,Sevilla,520,75000,225259,2020,2,New,51333.20779
38,Cabeza tractora Renault T-High,Renault,ESPAÑA,Sevilla,520,75000,242305,2020,2,New,51333.20779
39,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,65000,440157,2020,2,New,51333.20779
40,Tractora semi portacoches Volvo FM13 460,Volvo,FRANCIA,Lot,460,75000,138000,2020,2,New,51333.20779
41,Cabeza tractora MAN 5x TGS 33.400 BBS-WW TRACTOR HEAD / RHD / NEW 2021 / EUR,MAN,HOLANDA,Schiedam,NA,78500,22,2020,2,New,51333.20779
42,"Cabeza tractora Iveco S-WAY AS440ST/P 460 S-Way LNG, Retrader, 2 Kreis Hydr.",Iveco,ALEMANIA,Hagenow,460,75000,185000,2020,2,New,51333.20779
43,Cabeza tractora MAN TGX 18.510,MAN,FRANCIA,Seine,510,93000,160000,2020,2,New,51333.20779
44,Cabeza tractora MAN TGX 18.510,MAN,FRANCIA,Seine,510,93000,160000,2020,2,New,51333.20779
45,Cabeza tractora Scania G 410,Scania,HOLANDA,Veghel,410,67900,591492,2020,2,New,51333.20779
46,"Cabeza tractora convoy excepcional DAF XF XF 480 SSC LL, ZF Intarder, Traxon, 2 Tanks",DAF,ALEMANIA,Hagenow,483,81500,219297,2020,2,New,51333.20779
47,Cabeza tractora Volvo FH,Volvo,FRANCIA,Moselle,NA,91000,139118,2020,2,New,51333.20779
48,Cabeza tractora MAN TGX TGX 18.510 XXL/Schaltgetriebe/Vollausstat !!,MAN,ALEMANIA,Grevenbroich,510,81990,190648,2020,2,New,51333.20779
49,Cabeza tractora Iveco S-WAY,Iveco,ITALIA,Vedelago (Tv),480,90000,180000,2020,2,New,51333.20779
50,Cabeza tractora Iveco Stralis AS 440 S51 TP,Iveco,ITALIA,Affi,NA,92000,270000,2020,2,New,51333.20779
51,Tractora semi volquete Volvo FH 460,Volvo,HOLANDA,Veghel,459,124400,26684,2020,2,New,51333.20779
52,Cabeza tractora Volvo FH 460,Volvo,HOLANDA,Veghel,459,99400,26684,2020,2,New,51333.20779
53,Cabeza tractora DAF XF 480,DAF,HOLANDA,Andelst,482,78000,305382,2020,2,New,51333.20779
54,Cabeza tractora Mercedes Actros 5 - 1848 LS 4X2,Mercedes,FRANCIA,Maine,476,97900,131657,2020,2,New,51333.20779
55,Cabeza tractora Volvo FH 460,Volvo,HOLANDA,Veghel,459,97400,271505,2020,2,New,51333.20779
56,Cabeza tractora Iveco S-WAY 460 LNG 2x Tanks,Iveco,HOLANDA,Veghel,459,52900,525410,2020,2,New,51333.20779
57,Cabeza tractora Iveco S-WAY,Iveco,ITALIA,Trofarello,510,87000,3.00E+05,2020,2,New,51333.20779
58,Cabeza tractora Volvo FH 460,Volvo,HOLANDA,Berkel En Rodenrijs,NA,119500,91263,2020,2,New,51333.20779
59,Cabeza tractora Iveco S-WAY,Iveco,ITALIA,Fossano,510,85000,166000,2020,2,New,51333.20779
60,Cabeza tractora MAN TGX 28.400,MAN,HOLANDA,Veghel,399,84900,159041,2020,2,New,51333.20779
61,Cabeza tractora Volvo FH 460/I-PARK COOL /10.2020 /HYDRAULIC SYSTEM,Volvo,POLONIA,Bodzentyn,460,98000,80000,2020,2,New,51333.20779
62,Cabeza tractora Mercedes Arocs Actros 1846 Kipphydraulik Classic Space 1.Hand,Mercedes,ALEMANIA,Sottrum,460,89900,106598,2020,2,New,51333.20779
63,Cabeza tractora Mercedes Arocs Arocs 1846 4x4 (HAD) Kipphydraulik Classic Space,Mercedes,ALEMANIA,Sottrum,456,99500,89652,2020,2,New,51333.20779
64,Cabeza tractora Mercedes Arocs Arocs 1846 4x4 (HAD) Kipphydraulik Classic Space,Mercedes,ALEMANIA,Sottrum,456,99500,117750,2020,2,New,51333.20779
65,Cabeza tractora Mercedes Arocs Arocs 1846 4x4 (HAD) Kipphydraulik Classic Space,Mercedes,ALEMANIA,Sottrum,456,99500,123730,2020,2,New,51333.20779
66,Cabeza tractora Mercedes Arocs Arocs 1846 4x4 (HAD) Kipphydraulik Classic Space,Mercedes,ALEMANIA,Sottrum,456,99500,108249,2020,2,New,51333.20779
67,Cabeza tractora convoy excepcional Iveco S-WAY 460 LNG Low Leder Intarder Vollausstattung,Iveco,ALEMANIA,Bakum,460,76800,353499,2020,2,New,51333.20779
68,Cabeza tractora Iveco S-WAY 460 LNG Low Leder Intarder Vollausstattung,Iveco,ALEMANIA,Bakum,460,76800,350652,2020,2,New,51333.20779
69,Cabeza tractora Iveco S-WAY 460 LNG Leder Intarder Vollausstattung,Iveco,ALEMANIA,Bakum,460,78500,282714,2020,2,New,51333.20779
70,Cabeza tractora Iveco S-WAY 460 LNG Leder Intarder Vollausstattung,Iveco,ALEMANIA,Bakum,460,78500,282204,2020,2,New,51333.20779
71,"Cabeza tractora Volvo FH 460 4x2, Schubboden-Hydr., Standklima, 174tkm",Volvo,ALEMANIA,Sittensen,460,95800,174911,2020,2,New,51333.20779
72,"Cabeza tractora Volvo FH 460 4x2, Schubboden-Hydr., Standklima, 174tkm",Volvo,ALEMANIA,Sittensen,460,95800,174911,2020,2,New,51333.20779
73,Cabeza tractora Volvo FH 460/I-PARK COOL /10.2020 /70 000 KM/GUARANTEE,Volvo,POLONIA,Bodzentyn,460,98000,70000,2020,2,New,51333.20779
74,"Cabeza tractora Mercedes Actros 2545 LS Actros 6x2, MP4, Retarder, ADR, Euro 6",Mercedes,ALEMANIA,Sittensen,449,99450,194868,2020,2,New,51333.20779
75,Cabeza tractora Renault T-Series 460,Renault,ESPAÑA,Tarragona,460,46000,483000,2019,3,New,48950.23324
76,Cabeza tractora Renault T-Series 460,Renault,ESPAÑA,Tarragona,460,46000,483000,2019,3,New,48950.23324
77,Cabeza tractora productos peligrosos / ADR DAF XF 530 FT,DAF,ESPAÑA,Tarragona,530,69900,410000,2019,3,New,48950.23324
78,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,64300,364392,2019,3,New,48950.23324
79,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69400,418306,2019,3,New,48950.23324
80,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,68600,328112,2019,3,New,48950.23324
81,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69700,402675,2019,3,New,48950.23324
82,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,68900,438863,2019,3,New,48950.23324
83,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,68900,438863,2019,3,New,48950.23324
84,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69500,413644,2019,3,New,48950.23324
85,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,65600,464780,2019,3,New,48950.23324
86,Cabeza tractora Mercedes Actros 1845,Mercedes,ESPAÑA,Valencia,450,60700,561502,2019,3,New,48950.23324
87,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,73600,471119,2019,3,New,48950.23324
88,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,67400,388273,2019,3,New,48950.23324
89,Cabeza tractora Mercedes Actros 1851 LS,Mercedes,ESPAÑA,Alcala De Guadaira,510,59500,470000,2019,3,New,48950.23324
90,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69400,414258,2019,3,New,48950.23324
91,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,68500,435308,2019,3,New,48950.23324
92,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69700,399720,2019,3,New,48950.23324
93,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69800,396160,2019,3,New,48950.23324
94,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69500,413162,2019,3,New,48950.23324
95,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,66100,490205,2019,3,New,48950.23324
96,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69500,413010,2019,3,New,48950.23324
97,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69400,420880,2019,3,New,48950.23324
98,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69500,420330,2019,3,New,48950.23324
99,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69000,437560,2019,3,New,48950.23324
100,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,65600,324722,2019,3,New,48950.23324
101,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,68900,441270,2019,3,New,48950.23324
102,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69600,409357,2019,3,New,48950.23324
103,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69300,419545,2019,3,New,48950.23324
104,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,69600,406555,2019,3,New,48950.23324
105,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,67900,412260,2019,3,New,48950.23324
106,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Santa Fe,480,70000,413392,2019,3,New,48950.23324
107,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Santa Fe,480,70000,434485,2019,3,New,48950.23324
108,Cabeza tractora DAF XF530 4x2 Tractor unit,DAF,ESPAÑA,Amposta,530,92110,399535,2019,3,New,48950.23324
109,Cabeza tractora DAF XF480 4x2 Tractor unit (6 unit available),DAF,ESPAÑA,Amposta,480,74000,372088,2019,3,New,48950.23324
110,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,75200,435658,2019,3,New,48950.23324
111,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,75000,440066,2019,3,New,48950.23324
112,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,69600,327487,2019,3,New,48950.23324
113,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,482,62400,496655,2019,3,New,48950.23324
114,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,63300,530258,2019,3,New,48950.23324
115,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,62500,548698,2019,3,New,48950.23324
116,Cabeza tractora DAF XF FT XF450,DAF,ESPAÑA,San Fernando De Henares,NA,68900,433635,2019,3,New,48950.23324
117,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,69300,294287,2019,3,New,48950.23324
118,Cabeza tractora Renault T-High 520 T4X2 E6,Est,ESPAÑA,Lucena,520,63000,493500,2019,3,New,48950.23324
119,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,74200,457950,2019,3,New,48950.23324
120,Cabeza tractora Mercedes Actros 1845,Mercedes,ESPAÑA,Valencia,450,67500,373671,2019,3,New,48950.23324
121,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,74100,459550,2019,3,New,48950.23324
122,Cabeza tractora Volvo FH 460,Volvo,ESPAÑA,Fuente El Saz De Jarama,460,89000,435517,2019,3,New,48950.23324
123,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,74900,443181,2019,3,New,48950.23324
124,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,75900,419085,2019,3,New,48950.23324
125,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,74500,451669,2019,3,New,48950.23324
126,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Valencia,482,72000,509174,2019,3,New,48950.23324
127,Cabeza tractora Renault T520 High cab T520 HIGH SLEEPER CAB,Renault,ESPAÑA,Alcala De Guadaira,NA,55000,600500,2019,3,New,48950.23324
128,Cabeza tractora DAF XF 530,DAF,ESPAÑA,San Fernando De Henares,NA,64400,506944,2019,3,New,48950.23324
129,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Santa Fe,480,70000,413392,2019,3,New,48950.23324
130,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Santa Fe,480,70000,378120,2019,3,New,48950.23324
131,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Santa Fe,480,70000,434485,2019,3,New,48950.23324
132,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Santa Fe,480,70000,378120,2019,3,New,48950.23324
133,Cabeza tractora DAF XF 480,DAF,ESPAÑA,Santa Fe,480,70000,434485,2019,3,New,48950.23324
134,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,66400,404697,2019,3,New,48950.23324
135,Cabeza tractora Iveco Stralis AS440S46T/P LNG,Iveco,ESPAÑA,Alcala De Guadaira,NA,59500,263350,2019,3,New,48950.23324
136,Cabeza tractora DAF XF 530,DAF,ESPAÑA,San Fernando De Henares,NA,62700,582500,2019,3,New,48950.23324
137,Cabeza tractora productos peligrosos / ADR DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,75500,360700,2019,3,New,48950.23324
138,Cabeza tractora DAF XF 480,DAF,ESPAÑA,San Fernando De Henares,NA,67200,434188,2019,3,New,48950.23324
139,Cabeza tractora Iveco AS440X48/4X4 HI-TRACTION,Iveco,ESPAÑA,Alcala De Guadaira,NA,87900,87521,2019,3,New,48950.23324
140,Cabeza tractora productos peligrosos / ADR Renault T-Series,Renault,FRANCIA,Vaucluse,480,68900,304576,2019,3,New,48950.23324
141,Cabeza tractora productos peligrosos / ADR Renault T-Series,Renault,FRANCIA,Vaucluse,480,68900,304576,2019,3,New,48950.23324
142,Cabeza tractora Scania S 520 V8 | NAVI | APK,Scania,HOLANDA,Groot,519,93000,538490,2019,3,New,48950.23324
143,Cabeza tractora MAN TGX 18.500,MAN,HOLANDA,Veghel,500,67900,318441,2019,3,New,48950.23324
144,Cabeza tractora MAN TGX 18.500,MAN,HOLANDA,Veghel,500,67900,357120,2019,3,New,48950.23324
145,Cabeza tractora Scania R 450,Scania,HOLANDA,Veghel,450,78800,429576,2019,3,New,48950.23324
146,Cabeza tractora Scania R 450,Scania,HOLANDA,Veghel,450,79900,397354,2019,3,New,48950.23324
147,Cabeza tractora Scania R 450,Scania,HOLANDA,Veghel,450,78400,455793,2019,3,New,48950.23324
148,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,70600,462942,2019,3,New,48950.23324
