"","name","brand","country","city","power","price","km","year","stringAsFactors"
"1","Cabeza tractora Volvo FH 500 Globetrotter XL","Volvo","ESPAÑA","Madrid",NA,NA,1028143,"2016",FALSE
"2","Cabeza tractora Volvo FH 500","Volvo","ESPAÑA","Madrid",500,NA,989955,"2016",FALSE
"3","Cabeza tractora Volvo FH 500 Globetrotter XL","Volvo","ESPAÑA","Massanassa",500,NA,10,"2017",FALSE
"4","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Onzonilla",460,26860,724209,"2016",FALSE
"5","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Onzonilla",460,39669,552482,"2017",FALSE
"6","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Onzonilla",460,39669,554241,"2017",FALSE
"7","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Onzonilla",480,39669,450000,"2017",FALSE
"8","Cabeza tractora productos peligrosos / ADR Volvo FH12 460","Volvo","ESPAÑA","Torrent",460,35000,1251639,"2012",FALSE
"9","Cabeza tractora productos peligrosos / ADR Volvo FH 500","Volvo","ESPAÑA","Torrent",500,35000,830152,"2015",FALSE
"10","Cabeza tractora productos peligrosos / ADR Mercedes Actros 1851","Mercedes","ESPAÑA","Torrent",510,23000,969144,"2012",FALSE
"11","Cabeza tractora productos peligrosos / ADR Volvo FH","Volvo","ESPAÑA","Torrent",NA,40000,863033,"2015",FALSE
"12","Cabeza tractora Renault T-Series 480 T4X2 E6","Renault","ESPAÑA","Igollo De Camargo",480,36500,674908,"2015",FALSE
"13","Cabeza tractora Iveco Stralis AS 440 S51 TP","Iveco","ESPAÑA","Igollo De Camargo",510,38900,684071,"2017",FALSE
"14","Cabeza tractora productos peligrosos / ADR MAN TGX 18.480","MAN","ESPAÑA","Lucena",480,24000,803000,"2014",FALSE
"15","Cabeza tractora Scania S 500","Scania","ESPAÑA","Alcala De Guadaira",NA,69000,635400,"2018",FALSE
